q_500,q_1000,phi_500,phi_1000
2.0810685643830563e-16,3.5007076659738984e-16,0.0,0.0
2.540252389962044e-16,0.013584469391256147,0.0,0.0
0.20140976652379022,0.16400809077117534,0.0,0.0
0.3859627751295032,0.38171068012558934,0.004,0.002
0.5045403324235468,0.5025050976732616,0.022,0.012
0.6197284245859613,0.6032403665050126,0.044,0.197
0.6979822376590523,0.7150535525468614,0.518,0.602
0.7897128166218039,0.8304108424110832,0.744,0.679
0.9767542623086374,0.9630630267665722,0.726,0.786
1.0189325738500987,1.001589766697841,0.832,0.796
1.1808436555178543,1.1804502358519722,0.842,0.872
1.267537457374565,1.287170189017337,0.86,0.862
1.3970907952367575,1.465145920096025,0.852,0.879
1.4874918308751817,1.5040245340476213,0.914,0.901
1.721543605093468,1.672176255700321,0.894,0.885
1.6133794194445186,1.6720005398076767,0.864,0.897
1.7772743269802003,1.7986776703561265,0.914,0.925
1.8363430140266608,1.8851122317049887,0.89,0.904
2.0395401023276762,1.9808794694837548,0.896,0.91
2.2451420043256722,2.192361632767618,0.898,0.9
2.1794583559108807,2.0777360903692257,0.92,0.907
2.1448805667234376,2.1573975737144933,0.91,0.915
2.3582609850605203,2.4228454350320456,0.906,0.927
2.85904981481138,2.418874195126173,0.88,0.936
2.423665751853058,2.415677535233897,0.914,0.907
